run,target,target_family,positive_class,negative_class,auc,balanced_accuracy,accuracy,train_positive,train_negative,test_positive,test_negative,n_train,n_test,split_strategy
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,any_dr,disease,true,false,0.7769693441986807,0.7080090270937186,0.7345573583831483,7444,20656,1872,5154,28100,7026,group_shuffle
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,referable_dr,disease,true,false,0.8385285986564316,0.7642848017494015,0.796327924850555,5512,22588,1361,5665,28100,7026,group_shuffle
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,severe_dr,disease,true,false,0.9319495293684341,0.8492447210968312,0.9151722174779391,1276,26824,305,6721,28100,7026,group_shuffle
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,sharpness_high_vs_low,quality,high,low,0.27700636192541983,0.3381306115459449,0.3382016036655212,7021,7051,1761,1731,14072,3492,group_shuffle
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,brightness_high_vs_low,quality,high,low,0.9999861794016517,0.9977314934152883,0.9977330688580335,6971,7064,1811,1718,14035,3529,group_shuffle
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,contrast_high_vs_low,quality,high,low,0.9947630237541899,0.9684579008782166,0.96845694799659,6977,7068,1805,1714,14045,3519,group_shuffle
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,black_border_high_vs_low,quality,high,low,0.9999996797744588,0.9994338412430643,0.9994343891402715,7069,6959,1713,1823,14028,3536,group_shuffle
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,field_of_view_high_vs_low,quality,high,low,0.9999437814799198,0.9979928027220223,0.9979994284081166,6997,7068,1785,1714,14065,3499,group_shuffle
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,laterality_right_vs_left,anatomy,right,left,0.3618140226424255,0.4067748363222317,0.4067748363222317,14050,14050,3513,3513,28100,7026,group_shuffle
