target_family,target,eyepacs_cropped_dinov2_cropped_10k,eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,eyepacs_cropped_dinov2_cropped_35k,eyepacs_cropped_dinov2_cropped_35k_resid_remove_sharpness_laterality,eyepacs_resized_dinov2_resized_10k,eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,eyepacs_resized_dinov2_resized_2k,eyepacs_resized_dinov2_resized_2k_resid_remove_brightness_contrast,eyepacs_resized_dinov2_resized_full,eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,cropped_minus_resized_auc
anatomy,laterality_right_vs_left,0.877405,0.268534,0.3611259192706947,0.9034063952936712,0.880487,0.275958,0.8010999999999999,0.7981249999999999,0.9047257192572276,0.3618140226424255,-0.003082000000000029
disease,any_dr,0.735939052583749,0.7344048813857224,0.7792997058130935,0.782586091957454,0.7311056019094127,0.729135771030254,0.6682402475200152,0.652323689834455,0.7804145149896022,0.7769693441986807,0.004833450674336381
disease,referable_dr,0.8082296650717703,0.8022950424188814,0.8443120777840394,0.8493068476076401,0.8104089099754734,0.8048860118209964,0.668235294117647,0.6667413632119514,0.8445909340582732,0.8385285986564316,-0.002179244903703137
disease,severe_dr,0.882233025865348,0.871356742107265,0.938356167724846,0.9421743934475014,0.8812999239254469,0.8692944085203499,0.8067305445197476,0.8226221079691516,0.9376102795007574,0.931949529368434,0.0009331019399011486
quality,black_border_high_vs_low,0.998221970465828,0.9980803574940798,0.99997950556536,0.9999996797744588,0.9999921326126808,0.9983793182122148,0.999632285346571,0.9974259974259974,1.0,0.9999996797744588,-0.0017701621468528828
quality,brightness_high_vs_low,0.9998482852237792,0.9998203377650018,0.9999832867182764,0.9999938932239856,0.9998762326825568,0.9997963828003354,0.9992982456140352,0.0921303258145363,0.9999945360425134,0.9999861794016516,-2.794745877754412e-05
quality,contrast_high_vs_low,0.9902289830576684,0.9889774236387784,0.9954366355611438,0.9960268539678128,0.9902289830576684,0.9903738581029418,0.9785148514851484,0.0881188118811881,0.9949036289058334,0.99476302375419,0.0
quality,field_of_view_high_vs_low,1.0,0.9999761874523748,0.9997332888814804,0.9999405129613106,1.0,1.0,1.0,1.0,0.999990848147894,0.9999437814799198,0.0
quality,sharpness_high_vs_low,0.998121634922689,0.1666882345328988,0.2882026215672377,0.9991902306294856,0.998384370747699,0.1640216619805575,0.99940919295758,0.99881838591516,0.999552208106116,0.2770063619254198,-0.0002627358250100187
