run,disease_direction,bottleneck_direction,cosine,abs_cosine,projection_ratio
eyepacs_cropped_dinov2_cropped_35k,severe_dr,sharpness,-0.0064226351678371,0.0064226351678371,4.1250242499138445e-05
eyepacs_cropped_dinov2_cropped_35k,severe_dr,brightness,-0.2687604427337646,0.2687604427337646,0.0722321755784491
eyepacs_cropped_dinov2_cropped_35k,severe_dr,contrast,-0.3582656979560852,0.3582656979560852,0.1283543103319608
eyepacs_cropped_dinov2_cropped_35k,severe_dr,black_border,-0.0118027897551655,0.0118027897551655,0.0001393058460046
eyepacs_cropped_dinov2_cropped_35k,severe_dr,field_of_view,0.0125042824074625,0.0125042824074625,0.0001563570785255
eyepacs_cropped_dinov2_cropped_35k,severe_dr,laterality,-0.0297760274261236,0.0297760274261236,0.0008866118092812
eyepacs_resized_dinov2_resized_10k,any_dr,sharpness,-0.2000931203365326,0.2000931203365326,0.0400372568060101
eyepacs_resized_dinov2_resized_10k,any_dr,brightness,-0.1896611601114273,0.1896611601114273,0.0359713556548124
eyepacs_resized_dinov2_resized_10k,any_dr,contrast,-0.098499983549118,0.098499983549118,0.0097022467591765
eyepacs_resized_dinov2_resized_10k,any_dr,black_border,-0.066742293536663,0.066742293536663,0.004454533746534
eyepacs_resized_dinov2_resized_10k,any_dr,field_of_view,0.0669867098331451,0.0669867098331451,0.0044872192942699
eyepacs_resized_dinov2_resized_10k,any_dr,laterality,-0.2384765297174453,0.2384765297174453,0.0568710552260756
eyepacs_resized_dinov2_resized_10k,referable_dr,sharpness,-0.2334118783473968,0.2334118783473968,0.0544811049536599
eyepacs_resized_dinov2_resized_10k,referable_dr,brightness,-0.137556791305542,0.137556791305542,0.0189218708342764
eyepacs_resized_dinov2_resized_10k,referable_dr,contrast,-0.0780571103096008,0.0780571103096008,0.0060929124698851
eyepacs_resized_dinov2_resized_10k,referable_dr,black_border,-0.0338158011436462,0.0338158011436462,0.0011435084069866
eyepacs_resized_dinov2_resized_10k,referable_dr,field_of_view,0.0340797156095504,0.0340797156095504,0.0011614270160278
eyepacs_resized_dinov2_resized_10k,referable_dr,laterality,-0.2288031876087188,0.2288031876087188,0.0523508986599106
eyepacs_resized_dinov2_resized_10k,severe_dr,sharpness,-0.17457015812397,0.17457015812397,0.0304747401074279
eyepacs_resized_dinov2_resized_10k,severe_dr,brightness,-0.1627509593963623,0.1627509593963623,0.0264878747844363
eyepacs_resized_dinov2_resized_10k,severe_dr,contrast,-0.1021965891122818,0.1021965891122818,0.0104441428261845
eyepacs_resized_dinov2_resized_10k,severe_dr,black_border,-0.0865820199251174,0.0865820199251174,0.0074964461743134
eyepacs_resized_dinov2_resized_10k,severe_dr,field_of_view,0.086941123008728,0.086941123008728,0.0075587588700187
eyepacs_resized_dinov2_resized_10k,severe_dr,laterality,-0.1871397495269775,0.1871397495269775,0.0350212858530198
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,any_dr,sharpness,-0.018506895750761,0.018506895750761,0.0003425051903295
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,any_dr,brightness,-0.1930601149797439,0.1930601149797439,0.0372722079959919
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,any_dr,contrast,-0.2864286303520202,0.2864286303520202,0.0820413602853342
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,any_dr,black_border,0.0141358580440282,0.0141358580440282,0.0001998224826409
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,any_dr,field_of_view,-0.013932216912508,0.013932216912508,0.0001941066680971
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,any_dr,laterality,-0.0273548513650894,0.0273548513650894,0.0007482878932061
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,referable_dr,sharpness,-0.0150517839938402,0.0150517839938402,0.0002265562013972
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,referable_dr,brightness,-0.1486737132072448,0.1486737132072448,0.0221038729988301
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,referable_dr,contrast,-0.2954412698745727,0.2954412698745727,0.0872855439451001
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,referable_dr,black_border,0.0825475007295608,0.0825475007295608,0.0068140898766968
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,referable_dr,field_of_view,-0.0823083594441413,0.0823083594441413,0.0067746660343859
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,referable_dr,laterality,-0.0200544632971286,0.0200544632971286,0.0004021814981358
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,severe_dr,sharpness,-0.014357041567564,0.014357041567564,0.0002061246425727
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,severe_dr,brightness,-0.1759422719478607,0.1759422719478607,0.0309556830581749
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,severe_dr,contrast,-0.2763262987136841,0.2763262987136841,0.0763562233608041
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,severe_dr,black_border,-0.0195658095180988,0.0195658095180988,0.0003828209020985
eyepacs_resized_dinov2_resized_10k_resid_remove_sharpness_laterality,severe_dr,field_of_view,0.0199318416416645,0.0199318416416645,0.0003972783112283
