run,direction,direction_family,bootstrap_count,mean_cosine_to_full,std_cosine_to_full,min_cosine_to_full,max_cosine_to_full
eyepacs_cropped_dinov2_cropped_10k,any_dr,disease,50,0.9895744955539704,0.002628607907813,0.9813793897628784,0.9943676590919496
eyepacs_cropped_dinov2_cropped_10k,referable_dr,disease,50,0.9931737947463988,0.0021626509395176,0.9875335097312928,0.9961085915565492
eyepacs_cropped_dinov2_cropped_10k,severe_dr,disease,50,0.9919590294361116,0.0022373627023759,0.9842350482940674,0.9953849911689758
eyepacs_cropped_dinov2_cropped_10k,sharpness,quality,50,0.998373829126358,0.0003945252777673,0.9971325397491456,0.9990599155426024
eyepacs_cropped_dinov2_cropped_10k,brightness,quality,50,0.9983932673931122,0.0003785233116905,0.997023344039917,0.9993111491203308
eyepacs_cropped_dinov2_cropped_10k,contrast,quality,50,0.997544560432434,0.0007212540717231,0.9954979419708252,0.9987480640411376
eyepacs_cropped_dinov2_cropped_10k,black_border,quality,50,0.9990082156658172,0.0002482146817154,0.9982759356498718,0.9994058609008788
eyepacs_cropped_dinov2_cropped_10k,field_of_view,quality,50,0.9990490746498109,0.0002911326452062,0.9981536865234376,0.9994451999664308
eyepacs_cropped_dinov2_cropped_10k,laterality,anatomy,50,0.9770737183094024,0.0076494074821601,0.9438669681549072,0.9884399771690368
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,any_dr,disease,50,0.9900632917881012,0.0023861951672797,0.9800479412078856,0.9945387840270996
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,referable_dr,disease,50,0.993397650718689,0.0019975823453006,0.9878533482551576,0.9961010217666626
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,severe_dr,disease,50,0.9924900007247924,0.00202411524548,0.9851166009902954,0.995335817337036
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,sharpness,quality,50,-0.001543303374201,0.0388544382216187,-0.0797790214419364,0.0844767987728118
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,brightness,quality,50,0.9977089905738832,0.0005006312825178,0.996564507484436,0.9989321827888488
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,contrast,quality,50,0.9954965806007384,0.0014028800383706,0.9914115071296692,0.997503399848938
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,black_border,quality,50,0.9986889028549194,0.0003247062899986,0.9976686239242554,0.999169111251831
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,field_of_view,quality,50,0.9987500488758088,0.0003407276327278,0.9979017972946168,0.9991984367370604
eyepacs_cropped_dinov2_cropped_10k_resid_remove_sharpness_laterality,laterality,anatomy,50,-0.0022974473703652,0.0299730028736095,-0.0695197284221649,0.0441542081534862
eyepacs_resized_dinov2_resized_10k,any_dr,disease,50,0.9897755992412568,0.002434497704775,0.9832676649093628,0.9941339492797852
eyepacs_resized_dinov2_resized_10k,referable_dr,disease,50,0.9931115448474884,0.0022025034546447,0.9869782328605652,0.9960035681724548
eyepacs_resized_dinov2_resized_10k,severe_dr,disease,50,0.99204647898674,0.002095705143257,0.9858039021492004,0.995309352874756
