run,direction,direction_family,positive_class,negative_class,positive_count,negative_count,raw_norm
eyepacs_cropped_dinov2_cropped_35k_resid_remove_sharpness_laterality,any_dr,disease,true,false,9316,25810,3.1308233737945557
eyepacs_cropped_dinov2_cropped_35k_resid_remove_sharpness_laterality,referable_dr,disease,true,false,6873,28253,4.276901721954346
eyepacs_cropped_dinov2_cropped_35k_resid_remove_sharpness_laterality,severe_dr,disease,true,false,1581,33545,8.181777000427246
eyepacs_cropped_dinov2_cropped_35k_resid_remove_sharpness_laterality,sharpness,quality,high,low,8782,8782,9.95970344543457
eyepacs_cropped_dinov2_cropped_35k_resid_remove_sharpness_laterality,brightness,quality,high,low,8782,8782,10.148426055908203
eyepacs_cropped_dinov2_cropped_35k_resid_remove_sharpness_laterality,contrast,quality,high,low,8782,8782,8.047101020812988
eyepacs_cropped_dinov2_cropped_35k_resid_remove_sharpness_laterality,black_border,quality,high,low,8782,8782,12.275529861450195
eyepacs_cropped_dinov2_cropped_35k_resid_remove_sharpness_laterality,field_of_view,quality,high,low,8782,8782,12.277547836303711
eyepacs_cropped_dinov2_cropped_35k_resid_remove_sharpness_laterality,laterality,anatomy,right,left,17563,17563,1.8273507356643677
