run,direction,direction_family,positive_class,negative_class,positive_count,negative_count,raw_norm
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,any_dr,disease,true,false,9316,25810,2.9598424434661865
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,referable_dr,disease,true,false,6873,28253,4.027519226074219
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,severe_dr,disease,true,false,1581,33545,7.9316840171813965
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,sharpness,quality,high,low,8782,8782,0.00011761672067223117
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,brightness,quality,high,low,8782,8782,8.309337615966797
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,contrast,quality,high,low,8782,8782,5.63350248336792
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,black_border,quality,high,low,8782,8782,10.14198112487793
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,field_of_view,quality,high,low,8782,8782,10.143780708312988
eyepacs_resized_dinov2_resized_full_resid_remove_sharpness_laterality,laterality,anatomy,right,left,17563,17563,0.00016546451661270112
